,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
0,Jaguar,XF,2.0 D Prestige Plus,2017.0,Dizel,Otomatik Vites,1801,176,Lacivert ,Hatchback 5 Kapı,Galeriden,2. El,26100,634500
1,Acura,CL,2.2,1994.0,Benzin/LPG,Düz Vites,1301,101,Turkuaz ,Sedan,Sahibinden,2. El,175000,19750
2,Acura,CL,2.2,2010.0,Dizel,Otomatik Vites,1801,151,Beyaz ,Sedan,Sahibinden,2. El,207000,148750
3,Acura,CL,2.2,1999.0,Dizel,Düz Vites,1801,101,Lacivert ,Roadster,Galeriden,2. El,320000,42500
4,Acura,CL,2.2,2014.0,Dizel,Otomatik Vites,1301,101,Kırmızı ,Sedan,Galeriden,2. El,183,170000
5,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Beyaz ,Sedan,Yetkili,0 km,15662,189000
6,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Gri ,Sedan,Yetkili,0 km,31971,189000
7,Jeep,Wrangler,2.8 CRD,2014.0,Dizel,Otomatik Vites,2501,126,Siyah ,Arazi Aracı,Galeriden,2. El,54000,457500
8,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Gri ,Diğer,Yetkili,0 km,13500,175000
9,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Gri ,Diğer,Yetkili,0 km,14000,175000
10,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,101,Mavi ,Sedan,Galeriden,0 km,29550,173900
11,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,16563,179250
12,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,11281,179250
13,Acura,CL,2.2,2016.0,Benzin,Düz Vites,1300,76,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,70000,77500
14,Acura,CL,Diğer,2012.0,Dizel,Düz Vites,1601,100,Gümüş Gri ,Sedan,Sahibinden,2. El,99750,86500
15,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,11453,176750
16,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Siyah ,Diğer,Yetkili,0 km,50943,186750
17,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,11936,176750
18,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,12840,176750
19,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,10209,176750
20,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,12008,176750
21,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,101,Mavi ,Sedan,Galeriden,0 km,29218,178900
22,Acura,CL,2.2,2011.0,Dizel,Düz Vites,1601,101,Bordo ,Hatchback 5 Kapı,Sahibinden,2. El,302000,51000
23,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301,101,Beyaz ,Arazi Aracı,Galeriden,2. El,75000,160000
24,Acura,CL,Diğer,2004.0,Benzin/LPG,Düz Vites,1301,100,Gri ,Sedan,Sahibinden,2. El,170000,55000
25,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,11400,176750
26,Acura,CL,2.2,2008.0,Dizel,Düz Vites,1301,101,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,189000,58750
27,Alfa Romeo,147,1.6 TS Distinctive,2008.0,Benzin/LPG,Düz Vites,1301,101,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,220000,45000
28,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013.0,Dizel,Düz Vites,1301,101,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,114000,113000
29,Alfa Romeo,147,1.6 TS Distinctive,2004.0,Benzin/LPG,Düz Vites,1301,101,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,246000,43750
30,Alfa Romeo,Mito,1.4 T MultiAir TCT City,2012.0,Benzin,Otomatik Vites,1301,126,Beyaz ,Hatchback 3 Kapı,Sahibinden,2. El,100000,108000
31,Alfa Romeo,156,2.0 TS 16V Selespeed,2002.0,Benzin/LPG,Yarı Otomatik Vites,1801,151,Beyaz ,Sedan,Galeriden,2. El,220000,45000
32,Alfa Romeo,156,1.9 JTD 16V Progression,2016.0,Dizel,Otomatik Vites,1301,101,Diğer ,Diğer,Yetkili,0 km,41128,236750
33,Alfa Romeo,147,1.6 TS Distinctive,2004.0,Benzin/LPG,Düz Vites,1301,101,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,236500,38500
34,Alfa Romeo,145,1.6 L,2015.0,Benzin,Otomatik Vites,1301,151,Siyah ,Diğer,Yetkili,0 km,104860,343250
35,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501,276,Gri ,Arazi Aracı,Galeriden,2. El,274654,162750
36,Audi,A6,2.0 TDI,2008.0,Dizel,Yarı Otomatik Vites,1801,126,Siyah ,Sedan,Galeriden,2. El,336000,117500
37,Audi,A4,2.0 TDI,2009.0,Dizel,Yarı Otomatik Vites,2001,126,Siyah ,Sedan,Galeriden,2. El,298000,119900
38,Audi,A4,A4 Sedan 2.0 TDI,2012.0,Dizel,Otomatik Vites,1801,126,Beyaz ,Sedan,Galeriden,2. El,164000,177500
39,Audi,A3,1.6 TDI Ambition,2016.0,Dizel,Yarı Otomatik Vites,1301,101,Siyah ,Sedan,Sahibinden,2. El,43500,248000
40,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501,226,Siyah ,Arazi Aracı,Galeriden,2. El,230000,155000
41,Audi,A4,2.0 TDI,2015.0,Dizel,Yarı Otomatik Vites,1801,126,Siyah ,Sedan,Sahibinden,2. El,85000,262000
42,Audi,A3,A3 Sportback 1.4 TFSI Attraction,2008.0,Benzin,Düz Vites,1301,101,Füme ,Hatchback 5 Kapı,Galeriden,2. El,201500,83900
43,Audi,A3,"1.6 TDI Ambition Sportback
",2012.0,Dizel,Otomatik Vites,1301,126,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,114000,145000
44,Audi,A4,A4 Sedan 3.0,2003.0,Benzin,Yarı Otomatik Vites,2501,201,Bej ,Sedan,Galeriden,2. El,239000,79900
45,Audi,A5,A5 Coupe 1.8 TFSI,2010.0,Benzin,Yarı Otomatik Vites,1601,151,Gümüş Gri ,Spor / Coupe,Galeriden,2. El,105000,159900
46,Audi,A5,1.8 TFSI Coupe,2011.0,Benzin,Yarı Otomatik Vites,1601,151,Beyaz ,Spor / Coupe,Sahibinden,2. El,94000,175000
47,Audi,A3,"1.6 TDI Attraction Sportback
",2012.0,Dizel,Otomatik Vites,1301,101,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,147500,147500
48,Audi,Q5,2.0 TDI Quattro Sport,2017.0,Dizel,Otomatik Vites,1801,176,Mavi ,Arazi Aracı,Galeriden,2. El,47800,669900
49,Audi,A4,2.0 TDI,2016.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,80000,274900
50,Mercedes,A Serisi,A 180 CDI BlueEfficiency Style,2014.0,Dizel,Otomatik Vites,1301,126,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,182000,199500
51,Audi,Q7,3.0 TDI Quattro,2016.0,Dizel,Otomatik Vites,2501,251,Siyah ,Arazi Aracı,Galeriden,2. El,138000,820000
52,Audi,A3,1.6 Attraction Sportback,2012.0,Benzin/LPG,Düz Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,135000,83900
53,Audi,A6,2.0 TDI,2011.0,Dizel,Otomatik Vites,1801,176,Gri ,Sedan,Galeriden,2. El,141000,232000
54,Audi,A6,2.0 TDI,2014.0,Dizel,Yarı Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,174000,308750
55,Audi,A3,1.8 Ambiente,2000.0,Benzin/LPG,Otomatik Vites,1601,101,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,230000,44000
56,Audi,A3,1.6 TDI Sedan,2016.0,Dizel,Otomatik Vites,1301,101,Siyah ,Sedan,Galeriden,2. El,8000,255000
57,Audi,A5,2.7 TDI,2009.0,Dizel,Yarı Otomatik Vites,2501,176,Siyah ,Spor / Coupe,Galeriden,2. El,126000,162500
