,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat,saleYear,saleMonth,saleDay,saleDayofweek,saleDayofyear,Marka_is_missing,Arac Tip Grubu_is_missing,Arac Tip_is_missing,Yakıt Turu_is_missing,Vites_is_missing,CCM_is_missing,Beygir Gucu_is_missing,Renk_is_missing,Kasa Tipi_is_missing,Kimden_is_missing,Durum_is_missing
3864,14,308,922,2005.0,3,2,1801.0,100.0,8,3,2,2,234531,50000,2019,12,23,0,357,False,False,False,False,False,False,False,False,False,False,False
8722,33,233,751,2011.0,3,1,1301.0,100.0,4,6,2,2,197300,48000,2019,12,24,1,358,False,False,False,False,False,False,False,False,False,False,False
4106,19,321,604,2012.0,1,1,1801.0,176.0,4,8,2,2,130000,115000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
3837,14,206,276,2019.0,1,2,1301.0,76.0,4,6,1,2,4100,146500,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
3838,14,196,377,2011.0,3,1,1301.0,76.0,20,6,2,2,183000,50000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
3839,14,206,0,2018.0,3,1,1301.0,100.0,4,6,2,2,25000,113000,2020,1,4,5,4,False,False,True,False,False,False,False,False,False,False,False
6309,29,43,500,2015.0,3,2,1301.0,101.0,4,3,2,2,97000,166000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
4105,19,318,1024,2006.0,3,2,2001.0,101.0,20,1,2,2,243000,85000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
8716,33,210,330,2013.0,1,2,1301.0,176.0,15,5,1,2,116000,109000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
40,1,119,1405,2004.0,2,1,1301.0,100.0,8,10,2,2,170000,55000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
5223,27,279,452,2017.0,3,1,1301.0,101.0,10,4,1,2,125000,176500,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
5222,27,279,792,2017.0,3,2,1301.0,126.0,7,4,1,2,132000,186500,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
8715,33,210,472,1999.0,2,2,1301.0,101.0,19,6,2,2,145000,32900,2020,1,4,5,4,False,False,False,False,False,True,True,False,False,False,False
2299,10,166,673,2016.0,3,1,1301.0,101.0,4,10,1,2,47000,104500,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
2298,10,166,670,2016.0,3,1,1301.0,101.0,8,6,2,2,23500,132000,2020,1,4,5,4,False,False,False,False,False,True,True,False,False,False,False
2297,10,272,149,2006.0,3,1,1300.0,100.0,16,6,1,2,280000,36250,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
2296,10,339,1295,1994.0,1,1,1300.0,51.0,17,6,2,2,186700,13500,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
2923,11,180,724,2012.0,3,1,1301.0,101.0,4,6,2,2,131000,113500,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
2924,11,178,334,2010.0,2,1,1301.0,100.0,8,6,2,2,177000,66000,2020,1,4,5,4,False,False,False,False,False,True,False,False,False,False,False
2925,11,178,335,2012.0,1,1,1301.0,76.0,8,6,2,2,93750,62750,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
2926,11,180,419,2015.0,3,2,1301.0,101.0,10,10,1,2,125000,128500,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
2927,11,178,419,2016.0,3,1,1301.0,51.0,4,6,1,2,96000,93750,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
3836,14,82,540,2015.0,3,2,1301.0,126.0,7,10,2,2,78000,104750,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
457,3,75,987,2014.0,3,2,1801.0,126.0,4,10,1,2,160000,176500,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
4904,24,104,1397,2016.0,3,2,1301.0,126.0,4,10,1,2,60500,350000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
5882,28,212,1043,2009.0,1,2,2501.0,101.0,7,10,1,2,166000,125000,2020,1,4,5,4,False,False,False,False,False,False,True,False,False,False,False
459,3,302,1499,2010.0,1,3,2501.0,326.0,20,11,1,2,160000,350000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
1196,6,129,929,2007.0,3,2,1801.0,126.0,20,1,2,2,192500,80000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
8992,34,258,742,2016.0,3,3,1601.0,101.0,4,6,2,2,77000,144900,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
8991,34,296,45,2015.0,2,1,1300.0,100.0,4,10,2,2,98000,92000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
1055,4,36,1125,2014.0,1,2,1301.0,176.0,20,10,1,2,160000,192500,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
1054,4,1,36,2008.0,2,2,1801.0,126.0,20,6,2,2,162000,82000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
5881,28,92,475,2004.0,2,1,1301.0,76.0,17,10,2,2,179,65000,2020,1,4,5,4,False,False,False,False,False,False,False,False,False,False,False
2582,11,180,419,2016.0,3,3,1301.0,101.0,4,10,1,2,147000,119650,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
2583,11,180,765,2016.0,1,1,1301.0,101.0,4,10,1,2,34000,117500,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
5072,27,248,19,2019.0,1,3,1300.0,101.0,15,6,1,1,0,158500,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
3498,14,196,225,2006.0,2,1,1301.0,101.0,15,6,1,2,174000,36750,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
161,3,328,993,2008.0,1,3,1801.0,101.0,4,11,1,2,129558,169500,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
160,3,74,1331,2014.0,3,3,1301.0,101.0,4,10,1,2,95705,172500,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
6040,29,43,499,2018.0,3,2,1301.0,101.0,8,1,1,2,103000,211750,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
5071,27,216,701,2017.0,1,3,1301.0,101.0,20,1,1,2,30000,127950,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
5070,27,279,452,2017.0,3,1,1301.0,101.0,4,3,2,2,16750,192500,2020,1,5,6,5,False,False,False,False,False,False,False,False,False,False,False
5069,27,279,452,2018.0,3,1,1301.0,101.0,7,3,2,2,13000,216000,2020,1,5,6,5,False,False,False,False,False,False,False,False,False,False,False
159,3,75,1359,2011.0,1,2,1300.0,101.0,8,10,1,2,122000,205000,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
158,3,76,1365,2015.0,3,3,1801.0,176.0,4,6,1,2,71000,289900,2020,1,5,6,5,False,False,False,False,False,False,False,False,False,False,False
3499,14,83,382,2011.0,3,1,1301.0,101.0,25,10,1,2,251000,47000,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
3500,14,158,1405,2017.0,1,2,1301.0,101.0,15,6,1,2,59000,113000,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
4930,25,145,471,2012.0,2,3,1301.0,101.0,4,1,1,2,144000,122900,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
163,3,276,1100,2010.0,3,2,2501.0,101.0,4,1,1,2,185385,233500,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
2581,11,252,985,2011.0,3,3,1801.0,101.0,20,10,1,2,207271,103500,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
2577,11,180,719,2011.0,3,1,1301.0,101.0,10,10,2,2,145500,63900,2020,1,5,6,5,False,False,False,False,False,False,False,False,False,False,False
2579,11,180,761,2011.0,2,1,1301.0,101.0,8,10,1,2,162000,79500,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
6041,29,44,629,2017.0,3,1,1301.0,101.0,4,10,1,2,117000,82750,2020,1,5,6,5,False,False,False,False,False,False,True,False,False,False,False
