,İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
0,27/05/2020,Jaguar,XF,2.0 D Prestige Plus,2017.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Lacivert ,Hatchback 5 Kapı,Galeriden,2. El,26100,634500
2,14/06/2020,Acura,CL,2.2,1994.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Turkuaz ,Sedan,Sahibinden,2. El,175000,19750
4,11/06/2020,Acura,CL,2.2,2010.0,Dizel,Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Sedan,Sahibinden,2. El,207000,148750
5,04/06/2020,Acura,CL,2.2,1999.0,Dizel,Düz Vites,1801-2000 cc,101-125 BG,Lacivert ,Roadster,Galeriden,2. El,320000,42500
6,03/06/2020,Acura,CL,2.2,2014.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Kırmızı ,Sedan,Galeriden,2. El,183,170000
8,29/05/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Beyaz ,Sedan,Yetkili,0 km,15662,189000
9,29/05/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Gri ,Sedan,Yetkili,0 km,31971,189000
19,08/04/2020,Jeep,Wrangler,2.8 CRD,2014.0,Dizel,Otomatik Vites,2501-3000 cc,126-150 BG,Siyah ,Arazi Aracı,Galeriden,2. El,54000,457500
20,20/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Gri ,Diğer,Yetkili,0 km,13500,175000
21,20/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Gri ,Diğer,Yetkili,0 km,14000,175000
23,20/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,101-125 BG,Mavi ,Sedan,Galeriden,0 km,29550,173900
24,15/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,16563,179250
25,15/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,11281,179250
28,14/04/2020,Acura,CL,2.2,2016.0,Benzin,Düz Vites,1300 cc ve altı,76-100 BG,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,70000,77500
30,12/04/2020,Acura,CL,Diğer,2012.0,Dizel,Düz Vites,1601-1800 cc,100 BG ve altı,Gümüş Gri ,Sedan,Sahibinden,2. El,99750,86500
31,09/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,11453,176750
32,09/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Siyah ,Diğer,Yetkili,0 km,50943,186750
33,08/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,11936,176750
34,08/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,12840,176750
35,08/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,10209,176750
36,08/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,12008,176750
37,06/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,101-125 BG,Mavi ,Sedan,Galeriden,0 km,29218,178900
38,03/04/2020,Acura,CL,2.2,2011.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Bordo ,Hatchback 5 Kapı,Sahibinden,2. El,302000,51000
39,25/03/2020,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,75000,160000
40,01/04/2020,Acura,CL,Diğer,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Gri ,Sedan,Sahibinden,2. El,170000,55000
41,27/03/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,11400,176750
42,26/03/2020,Acura,CL,2.2,2008.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,189000,58750
46,16/06/2020,Alfa Romeo,147,1.6 TS Distinctive,2008.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,220000,45000
47,15/06/2020,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,114000,113000
48,31/05/2020,Alfa Romeo,147,1.6 TS Distinctive,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,246000,43750
49,28/05/2020,Alfa Romeo,Mito,1.4 T MultiAir TCT City,2012.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 3 Kapı,Sahibinden,2. El,100000,108000
50,17/05/2020,Alfa Romeo,156,2.0 TS 16V Selespeed,2002.0,Benzin/LPG,Yarı Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Sedan,Galeriden,2. El,220000,45000
52,12/05/2020,Alfa Romeo,156,1.9 JTD 16V Progression,2016.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Diğer ,Diğer,Yetkili,0 km,41128,236750
61,02/04/2020,Alfa Romeo,147,1.6 TS Distinctive,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,236500,38500
62,24/03/2020,Alfa Romeo,145,1.6 L,2015.0,Benzin,Otomatik Vites,1301-1600 cc,151-175 BG,Siyah ,Diğer,Yetkili,0 km,104860,343250
63,09/04/2020,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501-3000 cc,276-300 BG,Gri ,Arazi Aracı,Galeriden,2. El,274654,162750
65,16/06/2020,Audi,A6,2.0 TDI,2008.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,336000,117500
66,16/06/2020,Audi,A4,2.0 TDI,2009.0,Dizel,Yarı Otomatik Vites,2001-2500 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,298000,119900
67,15/06/2020,Audi,A4,A4 Sedan 2.0 TDI,2012.0,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,164000,177500
68,15/06/2020,Audi,A4,2.0 TDI,2009.0,Dizel,Yarı Otomatik Vites,Bilmiyorum,126-150 BG,Füme ,Sedan,Sahibinden,2. El,302000,117500
69,15/06/2020,Audi,A3,1.6 TDI Ambition,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Sahibinden,2. El,43500,248000
70,15/06/2020,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Siyah ,Arazi Aracı,Galeriden,2. El,230000,155000
71,15/06/2020,Audi,A4,2.0 TDI,2015.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Siyah ,Sedan,Sahibinden,2. El,85000,262000
72,14/06/2020,Audi,A3,A3 Sportback 1.4 TFSI Attraction,2008.0,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Füme ,Hatchback 5 Kapı,Galeriden,2. El,201500,83900
74,12/06/2020,Audi,A3,"1.6 TDI Ambition Sportback
",2012.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,114000,145000
76,12/06/2020,Audi,A4,A4 Sedan 3.0,2003.0,Benzin,Yarı Otomatik Vites,2501-3000 cc,201-225 BG,Bej ,Sedan,Galeriden,2. El,239000,79900
77,12/06/2020,Audi,A5,A5 Coupe 1.8 TFSI,2010.0,Benzin,Yarı Otomatik Vites,1601-1800 cc,151-175 BG,Gümüş Gri ,Spor / Coupe,Galeriden,2. El,105000,159900
78,11/06/2020,Audi,A5,1.8 TFSI Coupe,2011.0,Benzin,Yarı Otomatik Vites,1601-1800 cc,151-175 BG,Beyaz ,Spor / Coupe,Sahibinden,2. El,94000,175000
79,10/06/2020,Audi,A3,"1.6 TDI Attraction Sportback
",2012.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,147500,147500
80,10/06/2020,Audi,Q5,2.0 TDI Quattro Sport,2017.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Mavi ,Arazi Aracı,Galeriden,2. El,47800,669900
81,10/06/2020,Audi,A4,2.0 TDI,2016.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,80000,274900
82,27/05/2020,Mercedes,A Serisi,A 180 CDI BlueEfficiency Style,2014.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,182000,199500
83,10/06/2020,Audi,Q7,3.0 TDI Quattro,2016.0,Dizel,Otomatik Vites,2501-3000 cc,251-275 BG,Siyah ,Arazi Aracı,Galeriden,2. El,138000,820000
84,10/06/2020,Audi,A3,1.6 Attraction Sportback,2012.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,135000,83900
85,09/06/2020,Audi,A6,2.0 TDI,2011.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Gri ,Sedan,Galeriden,2. El,141000,232000
86,08/06/2020,Audi,A6,2.0 TDI,2014.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,174000,308750
88,07/06/2020,Audi,A3,1.8 Ambiente,2000.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,230000,44000
91,05/06/2020,Audi,A3,1.6 TDI Sedan,2016.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Galeriden,2. El,8000,255000
92,03/06/2020,Audi,A5,2.7 TDI,2009.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,176-200 BG,Siyah ,Spor / Coupe,Galeriden,2. El,126000,162500
94,01/06/2020,Audi,A3,A3 Sedan 1.6 TDI Design Line,2018.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Galeriden,2. El,35000,236000
